#{"tracks":{"href":"https://api.spotify.com/v1/search?query=Tell+Me+A+Secret+Feat+NeYo&offset=0&limit=1&type=track","items":[],"limit":1,"next":null,"offset":0,"previous":null,"total":0}}:-------------------------------------->FAIL!!!
Still Shinin',Mobb Deep,Hell On Earth (Explicit),https://i.scdn.co/image/9af8e09c4f80e6b08b2cbb107c3585ca095cf719,https://i.scdn.co/image/1c3900c8cdb846126e68563f0cd27e5dbd0f6daf,https://i.scdn.co/image/375f05748c25803bc5718e7d84846fe19b180173,spotify:track:6xHfOu46nMOfVxLyEb4DyR
Why Can't We Be Friends,War,Semi-Pro - Original Motion Picture Soundtrack,https://i.scdn.co/image/7e3336c0356a45b92d3b380412f4e29c9b5ec3e8,https://i.scdn.co/image/495c3889bd8584baff04309dcd82932f7193948c,https://i.scdn.co/image/5813203f699c18530d2a5b6f4b55a33f24ab1ad7,spotify:track:0Rkc2k7fhcla1LRSjZUGTN
I Wonder If Heaven Got A Ghetto,2Pac,R U Still Down? [Remember Me],https://i.scdn.co/image/8b45ab74daf5b0c858f367468b0e26a23944c554,https://i.scdn.co/image/e57a8536fcecc61c74973d52c8bfe7f8636bd393,https://i.scdn.co/image/93ca8e0a486abaf13b3b5039e39ec48c1f94f43b,spotify:track:1ec6IDtSwq5rJdCog7GDZz
Love's Been Good To Me,Johnny Cash,American V: A Hundred Highways,https://i.scdn.co/image/31567ed59ba73c6907f568446e3eb04c27ed7710,https://i.scdn.co/image/17f35be850fc62860127eaba99ab69f1fd40bd92,https://i.scdn.co/image/cafbc60f72c91efdb58260c49441fb45dd2888b9,spotify:track:2tQa6FFAtIuzQTDfjWiOXD
The Start of Your Ending (41st Side),Mobb Deep,The Infamous,https://i.scdn.co/image/a15e922378d2dca9c7d683665e472643b860a41f,https://i.scdn.co/image/0e87a6382b513ca62846991e8da8ccbc13292770,https://i.scdn.co/image/0594f6a646d7f3823130e85c92f5b442952ac32d,spotify:track:5DGnlowf1fjT7VWsoeRDlb
Fight The Good Fight,Triumph,Melodic Rock,https://i.scdn.co/image/9d30e13103b37d5e1f40250ecb911ba1caabc83b,https://i.scdn.co/image/e932cece6218a24a1380d2c2698cf96052a8e79c,https://i.scdn.co/image/5c8a366a5642e25f93f0791678cdd4d49acd0309,spotify:track:2EqEYWS6C3ShkdS8djdvob
The Rain Song,Larry Baeder and the Muse Gurus,Larry Baeder and the Muse Gurus,https://i.scdn.co/image/5c546bb1cd2454e743d312614810c166cc245662,https://i.scdn.co/image/71681a4e30632cc84384892a53ed0d4767d95efc,https://i.scdn.co/image/71768308761bda3f0733f86d97372ccf89220480,spotify:track:1aogyf7KYdeEV619Rreq6k
1957,Milo Greene,Milo Greene,https://i.scdn.co/image/361b53f83bd96f216e4eefe72a9e6e882418813f,https://i.scdn.co/image/db9a6a97b33788248f33fa341b757f5a248c5a8e,https://i.scdn.co/image/7b395487d7fe2ed3cec5f1156cb14a1f8e101e0b,spotify:track:08cXy6KUizaAelYXtcew3w
One Of Us,Joan Osborne,Drivetime,https://i.scdn.co/image/581b19c344790d9fd992635bd22e53928c29666f,https://i.scdn.co/image/41488dab6c1b10a03b1d3e3bca1e6ec2c73e16be,https://i.scdn.co/image/628128b7d675c3dfb571f1488778ab6d3ba4fc7d,spotify:track:7gaAt6OHP7rMzWSQCPcqN5
Play Your Cards Right,Enjoy The View,Dreams To Remember,https://i.scdn.co/image/b749fec3d1088f446a88d8c8377d14e461331c23,https://i.scdn.co/image/fe394a5d11d3f8eae9fc84c2c949a8528ef97b45,https://i.scdn.co/image/f5672f1473db381a6f0db9455a8c617d025f94c3,spotify:track:0lsdkDOht8I2lqtQvG02CJ
A Bunch of Lonesome Heroes,Leonard Cohen,Songs From A Room,https://i.scdn.co/image/0777b2e71e8111ff7b410134952da01cb1d3f0f3,https://i.scdn.co/image/911600c39d2536a7e895557a42526c8fccbe32ca,https://i.scdn.co/image/437feab5dcc4145ed544acc25e83686b13dba7aa,spotify:track:6tkjeqxkQNQeiR4PV3zqPz
Getting Ahead In The Lucrative Field Of Artist Management,UNKLE,Psyence Fiction,https://i.scdn.co/image/29079175f46341d30751903959895cc1759ea27c,https://i.scdn.co/image/cde2b157200bd530dae8b0533ef87764b90232cc,https://i.scdn.co/image/b0f7d97d251c460d1b7c9c7da8e512dbd3eb3e4c,spotify:track:4c7aUCM1i727Z74LBi02rz
Close Enough For Love,Diane Schuur+Caribbean Jazz Project,Schuur Fire,https://i.scdn.co/image/c62acb34b48bfb44fda4a751b456713bd20fbb53,https://i.scdn.co/image/43b33d4aeacc5d84f938af42525a03f277371f1e,https://i.scdn.co/image/9d74718d830e5956d9570978b149972404eff704,spotify:track:6FiBlNhnfoI5RgdgfPUGMB
How Does It Feel? - Gabriel Gassi Remix,Julia Vero,How Does It Feel? (Remixes),https://i.scdn.co/image/e9ca1d31cbece3fbdf26e36d307df39b4dd6b1da,https://i.scdn.co/image/c5fe34ab2e60dcc5f1d440c9bb21a4d71b38f484,https://i.scdn.co/image/be8ac82b6f8ba63df4eea99b66435dbc048e9951,spotify:track:6Ejit26Cx7OPexzmtND6OS
Gasoline Dreams - Dirty Version,OutKast+Khujo Goodie,Stankonia,https://i.scdn.co/image/e22454bac541aae05981a648afc407d9452ac52a,https://i.scdn.co/image/d9c8acf62afd165f9b50fac85688b54f4907557e,https://i.scdn.co/image/bf31fe66aa220c0e02bd19b36f2a7c06dc495d77,spotify:track:1Jo3u8eXp8xobbrvq0FIi9
The Gnome - 2011 Remastered Version,Pink Floyd,The Piper At The Gates Of Dawn [2011 - Remaster] (2011 Remastered Version),https://i.scdn.co/image/7fdbd342a1cb9680a3471e684f7f97da51f737ac,https://i.scdn.co/image/78464d995485d97222eca3b057ba577496a47836,https://i.scdn.co/image/b715a425f3f147694c6a22cd9d8a2059e710bc83,spotify:track:6Dvkyqr2Cwze5ggsAISeUD
Matters Of The Heart,Tracy Chapman,Matters Of The Heart,https://i.scdn.co/image/fcc0cb136b55476648f33cf95c8b118d75a1c82f,https://i.scdn.co/image/607f0681e92739c642d1c43be00ce16d1a173e6a,https://i.scdn.co/image/dc7acee0ea6fa15e87979a67df6f06f6f93e7d12,spotify:track:5DPH67FwVR6y2LwFHKfFpB
Just A Little Bit Of Your Heart,Ariana Grande,My Everything (Deluxe),https://i.scdn.co/image/ded7eb8e29384d0d75be7ffc2411bb8008f055b4,https://i.scdn.co/image/c1018d80d0471cbc7cab366b23d3b9df5938d696,https://i.scdn.co/image/e986bc8ffe8da97c2270581ffc1429c6412ba30b,spotify:track:6EF9SuEEFvCrVyV98enq5v
Going Up The Country,Canned Heat,The Best Of Canned Heat,https://i.scdn.co/image/9ab558b9255c9b60fae872ca3fff1711abc2bfa2,https://i.scdn.co/image/6a2a9a69ebc50a248d174dad5dd40ae99a0be7ce,https://i.scdn.co/image/3db572f72d03bc5aeee42a8096cdfe1b43c5efc7,spotify:track:57460SJgSpCXaRJ9YIYHxy
Michelangelo,Björn Skifs,Skifs Hits!,https://i.scdn.co/image/6ba8839ebf295433fe180e07b23efee8d33bb1b5,https://i.scdn.co/image/560ca4f7d0aace2edd58935f42106c42036eb670,https://i.scdn.co/image/c6a55bf9be490b76d3c361e7c5bd5d720577c5f7,spotify:track:3qChO81Z9r3KDyIj4w1m4T
#{"tracks":{"href":"https://api.spotify.com/v1/search?query=Suite+Sandrine+Part+I&offset=0&limit=1&type=track","items":[],"limit":1,"next":null,"offset":0,"previous":null,"total":0}}:-------------------------------------->FAIL!!!
Like Eating Glass,Bloc Party,Silent Alarm,https://i.scdn.co/image/4ebdf6cf3f451704cc47e0287e08f10f994bb196,https://i.scdn.co/image/4be3899d7035ee6aad6ea18ded5592dd77d2b90d,https://i.scdn.co/image/e34ec91a47fb13488057ddf3f0d27f0cf059411a,spotify:track:2x7cxHkkKF4afADOkrxe6J
Love In December,Club 8,Club 8,https://i.scdn.co/image/14c6ff29ba396b4a140170f1ec067b8e71f6286d,https://i.scdn.co/image/a3f7c1c890248c3a769a88c4935001ce6ebfcfc7,https://i.scdn.co/image/b888c3784eea413755cbf7185aa5d760c595d647,spotify:track:4Io1x84Hmb8qq33yvrcUJU
Under The Influence,Eminem+D12,The Marshall Mathers LP - Tour Edition,https://i.scdn.co/image/cd557ddc5b8fd4ade609baae674e9a2520fb8496,https://i.scdn.co/image/6f8df4488b48337fc157c24551f8e4a0ba660886,https://i.scdn.co/image/1f3453c18c2fe9ab055a8cabb43fdf3a7365f62f,spotify:track:79RYjhFQ150lpjxoRJW4El
Demons,Imagine Dragons,Night Visions (Deluxe),https://i.scdn.co/image/16b7019d190de47507ec0fed8c7a6076bce2e31a,https://i.scdn.co/image/8d3bd7c9d613dd07befcc8d999f31e424172f9db,https://i.scdn.co/image/2fef19179d578b6e39fa85cfc11f6714a28fdaad,spotify:track:2Oehrcv4Kov0SuIgWyQY9e
Dum Dum Diddle,ABBA,Arrival,https://i.scdn.co/image/e476ed4023827e55692e1b676c79cc6e9cd0600b,https://i.scdn.co/image/59f4f383515d3d13560ac3b7e18580aee27cad7f,https://i.scdn.co/image/c77cc67a983a67a1f6eff3f404a81246d73a4810,spotify:track:7Ev6oE1PGImJAQeNkXiNFU
Big In Japan - Live,Ane Brun,Live At Stockholm Concert Hall,https://i.scdn.co/image/a439340bba004ada599111837e976ce206206fbe,https://i.scdn.co/image/324921d1a0f885dbe1bdf24f3c89dd400345d16e,https://i.scdn.co/image/8ed677c40498c83830b5f90e0f0544704efcdf73,spotify:track:5lQde8OqeQsRQITPgFR9FJ
Kelly watch the stars edit,Air,Kelly Watch The Stars,https://i.scdn.co/image/81fdf58ba3993462ec212eed16df169d9707a0f9,https://i.scdn.co/image/8ca52ea1f59caef3ffd855ae86ebf7348a4a07b1,https://i.scdn.co/image/d656dc76cfb154d8fdfe21fde15aa5efe13345a3,spotify:track:0gK0VYrhJcGDwQ8srwxILk
Amen Omen,Ben Harper,Diamonds On The Inside,https://i.scdn.co/image/f1755a7395dce4af61a3cad72e3e0810aa762cd6,https://i.scdn.co/image/c0ce9f45b19a88ceecbd20ae115803e02ea98a92,https://i.scdn.co/image/b02b0609f2d1df0503c49b4db13f081bf6dd7611,spotify:track:2PkxIx7ciJa4TdZ73hflTt
Left & Right in the Dark,Julian Casablancas,Phrazes For The Young,https://i.scdn.co/image/0cbc1d74ab2ba587027b86a7805090f3f49dae2f,https://i.scdn.co/image/247d3be5781d92847d502773097d673302567051,https://i.scdn.co/image/a30093edb4b249d810dff1d1535ef5d3ee92fb20,spotify:track:1jgXeMFSkF0XwhkbR1Bu8W
